scenario,swarm_alt_m,contacts,sea_state,hs_m,model_false_alarm_rate,ticks,radar_clutter_per_tick,radar_true_per_tick,radar_true_per_contact_per_tick,hostile_hold_fraction,mean_detections_per_tick,mean_false_tracks,max_false_tracks,continuity,identity_switches,first_hold_s,p95_error_m
closing-swarm,30.0,5,0,0.0,0.05,240,0.0625,4.2875,0.8575,0.8875,9.2375,0.0,0,0.9679,34,1.5,16.73
closing-swarm,30.0,5,1,0.1,0.17,240,0.1083,4.2167,0.8433,0.8925,9.1583,0.0,0,0.9681,34,1.5,18.55
closing-swarm,30.0,5,2,0.5,0.4138,240,0.45,4.0042,0.8008,0.8508,9.2667,0.0,0,0.9803,20,2.0,18.94
closing-swarm,30.0,5,3,1.25,0.7459,240,0.7583,3.8792,0.7758,0.8575,9.2542,0.0,0,0.9668,34,1.5,18.11
closing-swarm,30.0,5,4,2.5,1.1528,240,1.2,3.5208,0.7042,0.7533,9.5167,0.0,0,0.9733,24,1.5,21.47
closing-swarm,30.0,5,5,4.0,1.6259,240,1.5667,3.2875,0.6575,0.7442,9.6667,0.0,0,0.9707,26,1.5,26.23
closing-swarm,30.0,5,6,6.0,2.1597,240,2.1417,2.9792,0.5958,0.6725,9.8458,0.0,0,0.9726,22,1.5,23.77
closing-swarm,30.0,5,7,9.0,2.7498,240,2.6125,2.6375,0.5275,0.6642,10.0625,0.0,0,0.9558,35,1.5,37.4
closing-swarm,30.0,5,8,14.0,3.3929,240,3.3667,2.4375,0.4875,0.5858,10.6667,0.0,0,0.9756,17,1.5,26.77
closing-swarm,30.0,5,9,18.0,4.0862,240,4.0333,2.45,0.49,0.57,11.1167,0.0,0,0.9588,28,1.5,33.8
multi-axis,40.0,6,0,0.0,0.05,240,0.0625,5.1542,0.859,0.9201,10.125,0.0,0,0.978,29,1.5,16.61
multi-axis,40.0,6,1,0.1,0.17,240,0.1667,5.2083,0.8681,0.8972,10.5125,0.0,0,0.9837,21,1.5,14.38
multi-axis,40.0,6,2,0.5,0.4138,240,0.35,5.1042,0.8507,0.9132,10.4625,0.0,0,0.9916,11,1.5,13.74
multi-axis,40.0,6,3,1.25,0.7459,240,0.775,4.8958,0.816,0.8931,10.6042,0.0,0,0.9875,16,1.5,14.91
multi-axis,40.0,6,4,2.5,1.1528,240,1.2375,4.7167,0.7861,0.8528,10.9875,0.0,0,0.9861,17,1.5,16.0
multi-axis,40.0,6,5,4.0,1.6259,240,1.5958,4.2042,0.7007,0.816,10.8083,0.0,0,0.9829,20,1.5,16.01
multi-axis,40.0,6,6,6.0,2.1597,240,2.0792,4.0083,0.6681,0.816,11.0958,0.0,0,0.9786,25,1.5,18.0
multi-axis,40.0,6,7,9.0,2.7498,240,2.7708,3.6292,0.6049,0.7368,11.375,0.0,0,0.9877,13,1.5,17.6
multi-axis,40.0,6,8,14.0,3.3929,240,3.2792,3.5667,0.5944,0.7174,11.9083,0.0,0,0.9708,30,1.5,18.85
multi-axis,40.0,6,9,18.0,4.0862,240,4.1458,3.2833,0.5472,0.6861,12.5583,0.0,0,0.9878,12,1.5,19.0
sequential-waves,35.0,6,0,0.0,0.05,300,0.04,5.0267,0.8378,0.9022,10.9733,0.0,0,0.9839,26,2.0,17.55
sequential-waves,35.0,6,1,0.1,0.17,300,0.16,5.02,0.8367,0.8911,10.98,0.0,0,0.9837,26,2.0,16.21
sequential-waves,35.0,6,2,0.5,0.4138,300,0.39,4.95,0.825,0.8806,11.2,0.0,0,0.9892,17,2.0,14.78
sequential-waves,35.0,6,3,1.25,0.7459,300,0.7733,4.7567,0.7928,0.8483,11.3267,0.0,0,0.9849,23,1.5,15.29
sequential-waves,35.0,6,4,2.5,1.1528,300,1.25,4.5033,0.7506,0.845,11.5533,0.0,0,0.9894,16,1.5,15.91
sequential-waves,35.0,6,5,4.0,1.6259,300,1.5867,4.17,0.695,0.8289,11.6333,0.0,0,0.9926,11,1.5,16.62
sequential-waves,35.0,6,6,6.0,2.1597,300,2.2133,3.79,0.6317,0.7872,11.6367,0.0,0,0.9858,20,1.5,15.9
sequential-waves,35.0,6,7,9.0,2.7498,300,2.62,3.6533,0.6089,0.7589,12.0767,0.0,0,0.9875,17,1.5,15.53
sequential-waves,35.0,6,8,14.0,3.3929,300,3.39,3.5167,0.5861,0.7478,12.6867,0.0,0,0.9896,14,1.5,17.53
sequential-waves,35.0,6,9,18.0,4.0862,300,3.9433,3.3733,0.5622,0.7639,13.15,0.0,0,0.9869,18,1.5,19.03
crossing-civilian,60.0,5,0,0.0,0.05,240,0.0417,4.2792,0.8558,0.9,9.1958,0.0,0,0.9852,16,1.5,16.23
crossing-civilian,60.0,5,1,0.1,0.17,240,0.15,4.2083,0.8417,0.9,9.2083,0.0,0,0.9833,18,1.5,15.22
crossing-civilian,60.0,5,2,0.5,0.4138,240,0.4417,4.275,0.855,0.9083,9.5083,0.0,0,0.988,13,1.5,14.47
crossing-civilian,60.0,5,3,1.25,0.7459,240,0.6583,4.275,0.855,0.8969,9.6625,0.0,0,0.983,18,1.5,15.64
crossing-civilian,60.0,5,4,2.5,1.1528,240,1.0875,4.1417,0.8283,0.8708,9.8083,0.0,0,0.9708,30,1.5,16.85
crossing-civilian,60.0,5,5,4.0,1.6259,240,1.4625,3.9375,0.7875,0.8698,10.0833,0.0,0,0.9787,22,1.5,17.84
crossing-civilian,60.0,5,6,6.0,2.1597,240,2.2083,3.7833,0.7567,0.8292,10.6292,0.0,0,0.988,12,1.5,17.65
crossing-civilian,60.0,5,7,9.0,2.7498,240,2.5125,3.5833,0.7167,0.7958,10.7917,0.0,0,0.9801,19,1.5,18.58
crossing-civilian,60.0,5,8,14.0,3.3929,240,3.1625,3.375,0.675,0.7594,11.2542,0.0,0,0.9796,19,1.5,18.0
crossing-civilian,60.0,5,9,18.0,4.0862,240,4.125,3.5083,0.7017,0.8063,12.3875,0.0,0,0.9867,13,1.5,16.87
sensor-degradation,50.0,5,0,0.0,0.05,340,0.0794,4.3118,0.8624,0.6871,7.9441,0.0,0,0.9639,42,1.5,25.64
sensor-degradation,50.0,5,1,0.1,0.17,340,0.1588,4.2706,0.8541,0.7235,7.8265,0.0,0,0.969,38,1.5,27.53
sensor-degradation,50.0,5,2,0.5,0.4138,340,0.4324,4.2059,0.8412,0.7147,8.0471,0.0,0,0.9595,49,1.5,26.4
sensor-degradation,50.0,5,3,1.25,0.7459,340,0.7294,4.0618,0.8124,0.6788,7.9824,0.0,0,0.9504,57,1.5,30.71
sensor-degradation,50.0,5,4,2.5,1.1528,340,1.1324,3.8265,0.7653,0.6888,8.1353,0.0,0,0.958,49,1.5,32.37
sensor-degradation,50.0,5,5,4.0,1.6259,340,1.6676,3.7853,0.7571,0.65,8.4559,0.0,0,0.9655,38,1.5,29.39
sensor-degradation,50.0,5,6,6.0,2.1597,340,2.1471,3.4853,0.6971,0.6012,8.5794,0.0,0,0.9607,40,1.5,28.72
sensor-degradation,50.0,5,7,9.0,2.7498,340,2.8118,3.2235,0.6447,0.5618,8.8588,0.0,0,0.9747,24,1.5,25.42
sensor-degradation,50.0,5,8,14.0,3.3929,340,3.4441,3.1882,0.6376,0.5547,9.3824,0.0,0,0.9776,21,1.5,31.42
sensor-degradation,50.0,5,9,18.0,4.0862,340,4.3088,3.0029,0.6006,0.5729,9.7412,0.0,0,0.9701,29,1.5,28.51
sea-skimmer,8.0,4,0,0.0,0.05,240,0.05,3.3708,0.8427,0.9115,7.3333,0.0,0,0.9828,15,1.5,16.04
